decision_id,package_family,finding_id,candidate_fact_id,action,decision_status,provider_route,provider_model,evidence_anchor,unknown_values,uncertainty_flag_count,source_report_reference,audit_reason,hallucinated_field_count,review_required,auto_accept,active_written_count_delta,creates_active_mkb_record,local_only,timestamp
dec_7313a2555be02155,cytology_pathology_narrative,cytology_pathology_narrative_finding_00,cytology_pathology_narrative_candidate_00,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,cyto_a1,,3,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_69780ce21a387e20,cytology_pathology_narrative,cytology_pathology_narrative_finding_01,cytology_pathology_narrative_candidate_01,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,cyto_a1,,3,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_8c7ca126aa8c4383,cytology_pathology_narrative,cytology_pathology_narrative_finding_02,cytology_pathology_narrative_candidate_02,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,cyto_a1,,3,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_d8b82ebcb01be56f,urinalysis_table_like_lab,urinalysis_table_like_lab_finding_00,urinalysis_table_like_lab_candidate_00,reject,rejected,vertex,gemini-2.5-flash-lite,ua_a1,,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator rejected finding; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_766cd2d0c58d53c6,urinalysis_table_like_lab,urinalysis_table_like_lab_finding_01,urinalysis_table_like_lab_candidate_01,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,ua_a1,,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_57370b11183b5b7e,urinalysis_table_like_lab,urinalysis_table_like_lab_finding_02,urinalysis_table_like_lab_candidate_02,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,ua_a1,,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_538e0bc445144d5a,urinalysis_table_like_lab,urinalysis_table_like_lab_finding_03,urinalysis_table_like_lab_candidate_03,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,ua_a1,,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_ab51c84b93640e98,portal_result_cards,portal_result_cards_finding_00,portal_result_cards_candidate_00,defer,deferred,vertex,gemini-2.5-flash-lite,portal_a1,,4,reports/medai_vertex_semantic_package_comparison_live_15p_c/live_comparison_result.json,operator deferred finding; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_7871c6b36ba7adea,portal_result_cards,portal_result_cards_finding_01,portal_result_cards_candidate_01,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,portal_a1,,4,reports/medai_vertex_semantic_package_comparison_live_15p_c/live_comparison_result.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_c0594602ac9f679c,portal_result_cards,portal_result_cards_finding_02,portal_result_cards_candidate_02,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,portal_a1,,4,reports/medai_vertex_semantic_package_comparison_live_15p_c/live_comparison_result.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_7174ce44bd6212ff,portal_result_cards,portal_result_cards_finding_03,portal_result_cards_candidate_03,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,portal_a1,,4,reports/medai_vertex_semantic_package_comparison_live_15p_c/live_comparison_result.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_c53e57ee4debddbc,mixed_narrative_numeric_result,mixed_narrative_numeric_result_finding_00,mixed_narrative_numeric_result_candidate_00,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,mixed_a1,Collection Time,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_e3e8c67ae03ef939,mixed_narrative_numeric_result,mixed_narrative_numeric_result_finding_01,mixed_narrative_numeric_result_candidate_01,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,mixed_a1,Collection Time,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_6b3d89d5148014e6,mixed_narrative_numeric_result,mixed_narrative_numeric_result_finding_02,mixed_narrative_numeric_result_candidate_02,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,mixed_a1,Collection Time,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
dec_da10bb4eaa8b9da6,mixed_narrative_numeric_result,mixed_narrative_numeric_result_finding_03,mixed_narrative_numeric_result_candidate_03,accept_for_review,review_draft,vertex,gemini-2.5-flash-lite,mixed_a1,Collection Time,4,reports/medai_vertex_semantic_package_remaining_families_live_15p_d/live_remaining_families_results.json,operator accepted finding for review queue only; no active write,0,True,False,0,False,True,2026-01-01T00:00:00Z
